Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
513,James Ward-Prowse,eng ENG,MF,Southampton,21,1994,30,22,1883,20.9,0.19,0.19,0.38,0.19,0.00,0.00,0.19,0.00,0.19,0.19,0.38,0.19,0.38,Matches,3515d404
514,Marcin Wasilewski,pl POL,DF,Leicester City,36,1980,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,24249219
515,Duncan Watmore,eng ENG,MFFW,Sunderland,22,1994,14,11,1024,11.4,0.00,0.18,0.18,0.00,0.00,0.00,0.09,0.00,0.00,0.18,0.18,0.00,0.18,Matches,2b2bae51
516,Ben Watson,eng ENG,MF,Watford,31,1985,4,0,54,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,Matches,df540668
517,Danny Welbeck,eng ENG,FWMF,Arsenal,25,1990,16,8,748,8.3,0.24,0.24,0.48,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.48,0.24,0.48,Matches,ce5143da
518,Ashley Westwood,eng ENG,MF,Burnley,26,1990,9,6,551,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,Matches,495945ef
519,Glenn Whelan,ie IRL,MF,Stoke City,32,1984,30,26,2275,25.3,0.00,0.04,0.04,0.00,0.00,0.00,0.20,0.00,0.00,0.04,0.04,0.00,0.04,Matches,d5bd56a5
520,Connor Wickham,eng ENG,FWMF,Crystal Palace,23,1993,8,4,412,4.6,0.43,0.00,0.43,0.43,0.00,0.00,0.22,0.00,0.44,0.00,0.44,0.44,0.44,Matches,41cc19c2
521,Georginio Wijnaldum,nl NED,MF,Liverpool,25,1990,36,33,2972,33.0,0.18,0.24,0.42,0.18,0.00,0.00,0.06,0.00,0.18,0.24,0.42,0.18,0.42,Matches,eb58eef0
522,Ashley Williams,wls WAL,DF,Everton,31,1984,36,35,3160,35.1,0.03,0.06,0.09,0.03,0.00,0.00,0.20,0.03,0.03,0.06,0.09,0.03,0.09,Matches,a498e276
523,Willian,br BRA,FWMF,Chelsea,27,1988,34,15,1534,17.0,0.47,0.12,0.59,0.47,0.00,0.00,0.18,0.00,0.47,0.12,0.59,0.47,0.59,Matches,8b9ebd03
524,Jack Wilshere,eng ENG,MF,Arsenal,24,1992,2,0,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9c318325
525,Jack Wilshere,eng ENG,MF,Bournemouth,24,1992,27,22,1910,21.2,0.00,0.09,0.09,0.00,0.00,0.00,0.14,0.00,0.00,0.09,0.09,0.00,0.09,Matches,9c318325
526,Callum Wilson,eng ENG,FW,Bournemouth,24,1992,20,16,1423,15.8,0.38,0.00,0.38,0.19,0.19,0.19,0.00,0.00,0.38,0.00,0.38,0.19,0.19,Matches,c596fcb0
527,Marc Wilson,ie IRL,DF,West Brom,28,1987,4,3,254,2.8,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c325c010
528,Kevin Wimmer,at AUT,DF,Tottenham,23,1992,5,4,357,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,Matches,faf55ce4
529,Harry Winks,eng ENG,MF,Tottenham,20,1996,21,3,493,5.5,0.18,0.18,0.36,0.18,0.00,0.00,0.18,0.00,0.18,0.18,0.37,0.18,0.37,Matches,2f7acede
530,Philipp Wollscheid,de GER,DF,Stoke City,27,1989,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c4cca587
531,Ben Woodburn,wls WAL,FW,Liverpool,16,1999,5,1,86,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8aadeaef
532,Matt Worthington,eng ENG,DFMF,Bournemouth,18,1997,1,0,17,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8c8b941f
533,Granit Xhaka,ch SUI,MF,Arsenal,23,1992,32,28,2485,27.6,0.07,0.07,0.14,0.07,0.00,0.00,0.18,0.07,0.07,0.07,0.14,0.07,0.14,Matches,e61b8aee
534,Claudio Yacob,ar ARG,MF,West Brom,29,1987,33,27,2418,26.9,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bda6ffd4
535,Maya Yoshida,jp JPN,DF,Southampton,27,1988,23,23,2070,23.0,0.04,0.00,0.04,0.04,0.00,0.00,0.09,0.00,0.04,0.00,0.04,0.04,0.04,Matches,caffaf5a
536,Ashley Young,eng ENG,DFMF,Manchester Utd,31,1985,12,8,758,8.4,0.00,0.12,0.12,0.00,0.00,0.00,0.24,0.00,0.00,0.12,0.12,0.00,0.12,Matches,be927d03
537,Pablo Zabaleta,ar ARG,DFMF,Manchester City,31,1985,19,11,1036,11.5,0.09,0.09,0.17,0.09,0.00,0.00,0.17,0.00,0.09,0.09,0.17,0.09,0.17,Matches,6813ac34
538,Wilfried Zaha,ci CIV,MFFW,Crystal Palace,23,1992,35,34,3019,33.5,0.21,0.24,0.45,0.21,0.00,0.00,0.24,0.00,0.21,0.24,0.45,0.21,0.45,Matches,b2bc3b1f
539,Mauro Zárate,ar ARG,FWMF,Watford,29,1987,3,3,203,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cc18ff4c
540,Simone Zaza,it ITA,FW,West Ham,25,1991,8,5,459,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9592289a
541,Ron-Robert Zieler,de GER,GK,Leicester City,27,1989,9,8,754,8.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a0606ae8
542,Kurt Zouma,fr FRA,DF,Chelsea,21,1994,9,3,250,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ce4246f5
543,Juan Zúñiga,co COL,DFMF,Watford,30,1985,21,6,825,9.2,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.11,0.00,0.11,0.11,0.11,Matches,06b34f37
