Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
82,Geoff Cameron,us USA,MFDF,Stoke City,31,1985,19,18,1629,18.1,0.00,0.11,0.11,0.00,0.00,0.00,0.06,0.00,0.00,0.11,0.11,0.00,0.11,Matches,1a160ea3
83,Fraizer Campbell,eng ENG,FW,Crystal Palace,28,1987,12,0,165,1.8,0.56,0.00,0.56,0.56,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.55,0.55,Matches,81d63375
84,Emre Can,de GER,MF,Liverpool,22,1994,32,26,2371,26.3,0.19,0.08,0.27,0.19,0.00,0.00,0.23,0.00,0.19,0.08,0.27,0.19,0.27,Matches,a65ce836
85,Étienne Capoue,fr FRA,MF,Watford,28,1988,37,37,3203,35.6,0.20,0.03,0.22,0.20,0.00,0.00,0.14,0.00,0.20,0.03,0.22,0.20,0.22,Matches,5acc4a10
86,Baily Cargill,eng ENG,DF,Bournemouth,21,1995,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6dbe8f69
87,Michael Carrick,eng ENG,MF,Manchester Utd,35,1981,23,18,1600,17.8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab7263c1
88,Andy Carroll,eng ENG,FW,West Ham,27,1989,18,15,1311,14.6,0.48,0.07,0.55,0.48,0.00,0.00,0.21,0.00,0.48,0.07,0.55,0.48,0.55,Matches,b581987a
89,Tom Carroll,eng ENG,MF,Tottenham,24,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a1900a4
90,Tom Carroll,eng ENG,MF,Swansea City,24,1992,17,16,1387,15.4,0.06,0.13,0.19,0.06,0.00,0.00,0.06,0.00,0.06,0.13,0.19,0.06,0.19,Matches,5a1900a4
91,Joel Castro Pereira,pt POR,GK,Manchester Utd,20,1996,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,881e5db7
92,Craig Cathcart,nir NIR,DF,Watford,27,1989,15,13,1162,12.9,0.00,0.08,0.08,0.00,0.00,0.00,0.23,0.00,0.00,0.08,0.08,0.00,0.08,Matches,89e4b358
93,Lee Cattermole,eng ENG,MF,Sunderland,28,1988,8,8,633,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,Matches,538e77d5
94,Santi Cazorla,es ESP,MF,Arsenal,31,1984,8,7,618,6.9,0.29,0.14,0.43,0.00,0.29,0.29,0.29,0.00,0.29,0.15,0.44,0.00,0.15,Matches,e2e9c250
95,Petr Čech,cz CZE,GK,Arsenal,34,1982,35,35,3097,34.4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,71672fa0
96,Nacer Chadli,be BEL,MFFW,West Brom,26,1989,31,27,2134,23.7,0.21,0.17,0.38,0.17,0.04,0.04,0.08,0.00,0.21,0.17,0.38,0.17,0.34,Matches,5b54bf3b
97,Nathaniel Chalobah,eng ENG,MF,Chelsea,21,1994,10,1,167,1.9,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,422862ea
98,Calum Chambers,eng ENG,DF,Arsenal,21,1995,1,1,90,1.0,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,Matches,dc6f5bdd
