Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
68,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293,14.4,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.10,0.10,0.03,0.12,1.46,2.85,4.03,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.12,0.10,0.12,Matches,1bf811d4
69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a179d516
70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,2167,24.1,0.00,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.07,0.07,0.01,0.07,0.21,1.99,0.08,0.00,0.04,0.04,0.00,0.04,0.06,0.01,0.07,0.06,0.07,Matches,7914b9fe
71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,2626,29.2,0.45,0.03,0.48,0.45,0.00,0.00,0.31,0.00,0.52,0.52,0.05,0.58,1.37,1.71,5.34,0.45,0.03,0.48,0.45,0.48,0.52,0.05,0.57,0.52,0.57,Matches,59e6e5bf
72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b2d03887
73,João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,1208,13.4,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.04,0.04,0.21,0.25,3.13,7.84,5.97,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25,Matches,bd6351cd
74,Todd Cantwell,eng ENG,FWMF,Norwich City,21,1998,37,30,2489,27.7,0.22,0.07,0.29,0.22,0.00,0.00,0.22,0.00,0.19,0.19,0.07,0.26,2.71,3.57,4.98,0.22,0.07,0.29,0.22,0.29,0.19,0.07,0.26,0.19,0.26,Matches,f63d8a4b
75,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,2627,29.2,0.00,0.10,0.10,0.00,0.00,0.00,0.27,0.00,0.03,0.03,0.11,0.14,0.55,4.52,0.79,0.00,0.10,0.10,0.00,0.10,0.03,0.11,0.14,0.03,0.14,Matches,5acc4a10
76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,7.0,0.00,0.57,0.57,0.00,0.00,0.00,0.14,0.00,0.17,0.17,0.20,0.37,0.57,2.43,4.86,0.00,0.57,0.57,0.00,0.57,0.17,0.20,0.37,0.17,0.37,Matches,b581987a
77,Jonny Castro,es ESP,MFDF,Wolves,25,1994,35,33,2887,32.1,0.06,0.06,0.12,0.06,0.00,0.00,0.12,0.00,0.05,0.05,0.04,0.09,3.12,3.02,5.61,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09,Matches,e28868f3
